ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,66489,60156,1533,2142,735,1580,55,53650,49215,977,1370,527,1259,42,24031,5555,18104
2,2,66492,59731,1613,2514,884,1437,57,53806,49171,1021,1645,606,1122,30,27239,6512,20313
3,3,66510,61410,1254,1516,466,1653,64,54264,50406,843,1195,339,1302,53,25888,4821,20692
4,4,66545,60639,2219,1255,474,1782,52,54206,49983,1490,810,355,1410,34,24835,4926,19517
5,5,70152,63143,2535,2025,560,1672,87,56339,51450,1585,1391,378,1288,49,23276,4607,18258
6,6,66545,57018,2987,3210,1443,1673,64,53527,46728,2026,2218,1042,1279,44,27227,7948,18832
7,7,66456,55588,3149,4453,1271,1752,86,54167,46363,2028,3158,950,1353,61,23054,7376,15249
8,8,66819,59463,2311,2056,670,2006,48,54125,48892,1503,1406,486,1547,36,27455,7124,19867
9,9,67032,62666,979,1157,430,1518,45,53948,50662,661,814,328,1239,31,22479,4010,18132
10,10,72308,57030,9477,3042,938,2034,370,55866,46135,5505,2063,683,1495,227,22276,4856,17075
11,11,70616,63137,2949,1965,553,1881,69,56389,51347,1757,1275,376,1462,53,23992,4519,19088
12,12,66611,55788,6722,1052,1181,1843,57,53084,45841,4166,659,888,1420,45,24964,5259,19084
13,13,66978,39636,9778,13340,3123,1549,142,47845,29871,6184,8807,2073,1067,98,21322,9067,11802
14,14,71287,59934,2807,2319,4567,1228,74,54047,46262,1853,1576,3123,888,52,35926,13136,22108
15,15,69119,40052,5503,20375,1929,1936,99,57095,35873,3661,14682,1738,1472,67,17429,12022,4910
16,16,67860,57911,3575,3378,1047,1895,88,53514,46864,2144,2203,769,1395,63,26965,8538,17923
17,17,67553,60499,3068,1305,608,1796,51,53903,49106,1903,804,439,1396,39,23009,4653,17885
18,18,70138,55943,4587,5105,2437,1665,122,55613,45776,2958,3440,1779,1281,84,31037,13804,16571
19,19,66578,58980,1922,2962,702,1699,89,52362,47041,1202,2058,471,1365,55,24666,6215,18003
20,20,68461,58489,3398,3023,1275,2024,80,53540,46857,2088,1966,861,1519,52,26254,7639,18091
21,21,66465,58043,4138,1648,567,1778,62,53880,48195,2555,1108,427,1360,31,27855,6394,20993
22,22,68862,62450,1980,1456,414,2264,71,54631,50012,1244,940,320,1840,50,26135,4794,20952
23,23,66454,58281,2407,2761,661,2287,72,52480,46786,1533,1815,469,1779,42,23374,4521,18521
24,24,70060,53516,6998,5938,1428,2472,180,54624,43434,4349,4080,993,1852,116,23088,5694,16924
25,25,69547,63187,3035,708,622,1774,54,57064,52634,1892,391,473,1409,51,29788,6494,22881
26,26,73213,61571,2699,4680,2143,1861,79,58715,50265,1878,3241,1585,1522,49,32758,11904,20234
27,27,73202,62281,3452,3889,1523,1970,90,58464,50779,2233,2746,1069,1484,65,32436,12314,19477
28,28,73251,22039,7692,41683,958,1700,101,56661,19437,4643,31058,744,1203,69,23844,18594,4783
29,29,73260,54749,4855,9026,2780,1819,140,58550,45003,3289,6693,2063,1385,92,29160,9423,19227
30,30,73281,49299,8377,10622,3214,2115,102,57057,40701,5131,7452,2391,1557,65,28435,11390,16496
31,31,69777,62045,3123,2023,543,2040,71,55285,49740,1976,1567,373,1578,36,23730,4795,18545
32,32,71040,61833,3853,2172,872,2005,91,56743,50484,2368,1430,596,1574,45,28506,7130,20768
33,33,67047,56633,2672,4038,1337,2125,96,52844,45676,1661,2654,964,1630,65,25380,9135,15695
