ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,203291,170385,12679,10808,2705,6725,335,159270,136754,7950,7278,1897,5173,204,70363,14666,54484
2,2,203307,179352,8066,6410,2327,6357,179,161769,145130,5046,4285,1647,4914,119,78704,19804,57549
3,3,207305,180522,7833,9659,3199,5414,215,168402,149018,5192,6906,2356,4197,151,77537,20359,55876
4,4,214884,196178,4437,6022,2230,5009,174,173347,160230,2822,3909,1574,3968,117,81903,17837,62834
5,5,203349,164134,14968,14455,3640,6108,230,159902,134105,8990,9193,2670,4643,153,78223,26007,50594
6,6,203299,162137,8373,21848,5429,4942,262,161552,131999,5501,15554,4026,3850,174,82642,33548,47392
7,7,204332,159982,13403,17257,8336,5087,412,162670,131180,8868,12180,6247,3829,277,78650,32206,44700
8,8,212327,189165,11370,3644,2160,5319,205,168689,152866,7031,2344,1629,4155,152,71788,14009,56418
9,9,211348,181606,15422,6637,2088,5609,502,168174,148400,9286,4428,1462,4289,313,71319,14734,55333
10,10,211874,145734,18424,36498,6316,5835,264,168915,121631,11413,27011,4799,4400,172,75864,31444,42982
11,11,213909,157432,10332,35817,4734,5400,298,168264,127605,6806,25998,3341,4188,199,91887,37279,52926
12,12,214359,198397,4572,4231,1319,5150,226,169189,157829,2798,2980,879,4059,105,75355,15832,58283
13,13,203305,141060,17140,30505,10503,4632,316,151595,109056,11032,20925,7227,3397,221,72142,27206,43478
14,14,209385,133696,29338,35788,6253,5193,429,158141,106978,18374,24705,4389,3801,277,65338,24427,39602
15,15,206039,182626,9774,5169,2585,5707,251,164720,148496,6074,3461,1932,4331,194,78110,19400,57465
16,16,210544,179776,11596,10441,2279,5769,264,164366,143512,7196,6956,1594,4427,160,72531,18504,52631
17,17,216082,155253,19928,28963,6861,5209,328,167422,125032,13031,20519,4721,3997,219,85287,32860,50147
18,18,207896,163955,13245,20785,4343,5222,325,159086,129207,8479,14140,2908,3837,233,77801,23425,53109
19,19,215379,62403,30507,114208,6786,4019,341,164274,53511,19982,84154,5098,3112,247,71044,55216,12221
20,20,216076,160747,15901,26137,8760,4751,328,175547,134963,10759,19409,6524,3799,251,100568,55125,42521
21,21,216084,127321,40158,28797,16979,4379,342,178373,112908,26988,22494,13344,3534,249,67962,43490,21891
22,22,216092,128734,22528,52001,8628,6286,1897,158006,98779,14181,35202,5881,4397,1119,59239,25037,32359
23,23,216082,182090,12835,12617,2290,5709,298,167040,144017,8029,8553,1507,4343,172,78906,22157,55436
24,24,212561,175663,6477,23393,1731,4674,273,166940,140927,3967,16549,1173,3654,212,77679,19315,57012
25,25,204183,138399,8902,50916,2280,3631,184,159046,111971,5538,36937,1621,2856,127,73284,23402,48699
26,26,215745,165543,5789,38097,1486,4381,233,170702,133009,3739,28993,1074,3433,173,79798,21519,56961
27,27,215763,174695,11782,10140,14497,3548,310,158322,131377,7487,6964,9178,2513,166,103516,35323,65683
28,28,210183,166580,13428,21577,3141,4935,293,159001,129585,8240,15017,2032,3650,184,77434,23255,52794
29,29,203170,41281,8300,149139,3149,2592,217,156945,36265,5638,111343,2553,2040,155,67189,55515,10092
30,30,203175,50605,22861,121522,6659,3233,268,152840,43875,14573,87771,5123,2501,181,59888,42508,15928
31,31,203172,139650,8745,35587,15679,3183,252,157166,110469,5828,27230,10997,2271,181,96184,36666,57875
32,32,203169,116630,14923,62873,4505,4612,337,153215,92312,8973,45343,3204,3421,224,73824,28454,43905
33,33,203171,28515,25151,144173,4806,2816,220,151583,25300,15906,106006,3783,2082,164,58858,49471,8138
