GEOID20,NAME,STATE,DIST,STATEFP,SLDL,C_TOT23,CTOTMOE,C_NHS23,CNHSMOE,C_AMI23,CAMIMOE,C_ASI23,CASIMOE,C_BLA23,CBLAMOE,C_NHP23,CNHPMOE,C_WHT23,CWHTMOE,C_AIW23,CAIWMOE,C_ASW23,CASWMOE,C_BLW23,CBLWMOE,C_AIB23,CAIBMOE,C_2OM23,C2OMMOE,C_HSP23,CHSPMOE,C_AIA23,CAIAMOE,C_ASN23,CASNMOE,C_BLK23,CBLKMOE,CVAP_TOT23,CVAPTOTMOE,CVAP_NHS23,CVAPNHSMOE,CVAP_AMI23,CVAPAMIMOE,CVAP_ASI23,CVAPASIMOE,CVAP_BLA23,CVAPBLAMOE,CVAP_NHP23,CVAPNHPMOE,CVAP_WHT23,CVAPWHTMOE,CVAP_AIW23,CVAPAIWMOE,CVAP_ASW23,CVAPASWMOE,CVAP_BLW23,CVAPBLWMOE,CVAP_AIB23,CVAPAIBMOE,CVAP_2OM23,CVAP2OMMOE,CVAP_HSP23,CVAPHSPMOE,CVAP_AIA23,CVAPAIAMOE,CVAP_ASN23,CVAPASNMOE,CVAP_BLK23,CVAPBLKMOE,ALL_TOT23,ALLTOTMOE,ALL_NHS23,ALLNHSMOE,ALL_AMI23,ALLAMIMOE,ALL_ASI23,ALLASIMOE,ALL_BLA23,ALLBLAMOE,ALL_NHP23,ALLNHPMOE,ALL_WHT23,ALLWHTMOE,ALL_AIW23,ALLAIWMOE,ALL_ASW23,ALLASWMOE,ALL_BLW23,ALLBLWMOE,ALL_AIB23,ALLAIBMOE,ALL_2OM23,ALL2OMMOE,ALL_HSP23,ALLHSPMOE,ALL_AIA23,ALLAIAMOE,ALL_ASN23,ALLASNMOE,ALL_BLK23,ALLBLKMOE,VAP_TOT23,VAPTOTMOE,VAP_NHS23,VAPNHSMOE,VAP_AMI23,VAPAMIMOE,VAP_ASI23,VAPASIMOE,VAP_BLA23,VAPBLAMOE,VAP_NHP23,VAPNHPMOE,VAP_WHT23,VAPWHTMOE,VAP_AIW23,VAPAIWMOE,VAP_ASW23,VAPASWMOE,VAP_BLW23,VAPBLWMOE,VAP_AIB23,VAPAIBMOE,VAP_2OM23,VAP2OMMOE,VAP_HSP23,VAPHSPMOE,VAP_AIA23,VAPAIAMOE,VAP_ASN23,VAPASNMOE,VAP_BLK23,VAPBLKMOE
47001,"State House District 1 (2022), Tennessee",Tennessee,State House District 1 (2022),47,1,67380,1819,65630,1789,75,46,380,192,1385,307,0,32,62220,1697,445,88,190,107,845,297,0,32,100,60,1750,325,520,104.33,570,219.8,2230,428.35,53590,1336,52515,1304,70,44,330,143,1155,235,0,32,49980,1272,410,82,95,61,385,145,0,32,90,56,1075,194,480,98.41,425,155.47,1540,277.98,67890,1812,65945,1779,75,46,505,211,1390,308,0,32,62380,1700,445,88,190,107,845,297,0,32,115,61,1945,367,520,104.33,695,236.58,2235,429.07,54100,1329,52830,1299,70,44,455,164,1160,235,0,32,50145,1273,410,82,95,61,385,145,0,32,110,58,1275,227,480,98.41,550,174.98,1545,277.98
47002,"State House District 2 (2022), Tennessee",Tennessee,State House District 2 (2022),47,2,65485,1819,64195,1771,110,68,440,229,1510,335,0,32,60970,1736,365,82,70,80,680,258,25,40,25,29,1290,322,500,113.79,510,242.57,2215,424.72,53750,1393,52920,1368,105,67,240,123,1155,243,0,32,50825,1313,260,69,35,65,250,137,25,40,25,29,830,186,390,104.16,275,139.12,1430,281.81,66030,1822,64510,1771,110,68,475,245,1510,335,0,32,61185,1750,365,82,80,91,735,247,25,40,25,29,1520,343,500,113.79,555,261.35,2270,418.13,54205,1398,53195,1370,105,67,275,139,1155,243,0,32,51040,1327,260,69,50,78,265,137,25,40,25,29,1010,219,390,104.16,325,159.39,1445,281.81
47003,"State House District 3 (2022), Tennessee",Tennessee,State House District 3 (2022),47,3,65870,1946,64980,1963,120,84,505,189,1160,300,0,32,61650,2019,860,270,170,66,470,250,0,32,45,46,890,230,980,284.57,675,200.19,1630,391.82,53850,1566,53410,1579,50,40,440,151,1005,225,0,32,50810,1610,700,213,150,66,215,153,0,32,35,32,440,148,750,219.07,590,164.79,1220,273.97,66450,1951,65220,1963,120,84,540,200,1205,298,0,32,61805,2021,860,270,180,66,470,250,0,32,45,46,1230,240,980,284.57,720,210.61,1675,390.29,54370,1595,53650,1590,50,40,475,163,1050,229,0,32,50965,1617,700,213,160,67,215,153,0,32,35,32,720,183,750,219.07,635,176.23,1265,277.26
47004,"State House District 4 (2022), Tennessee",Tennessee,State House District 4 (2022),47,4,65980,862,63895,827,75,62,85,145,1055,241,20,33,61520,826,590,97,200,145,270,112,0,32,80,100,2085,140,665,119.49,285,205.06,1325,267.67,54070,619,52820,583,30,28,80,114,860,163,20,33,51165,586,460,74,95,65,80,59,0,32,30,49,1250,122,490,85.35,175,131.23,940,176.28,66845,807,64430,794,75,62,170,150,1205,150,20,33,61800,800,590,97,200,145,290,132,0,32,80,100,2415,53,665,119.49,370,208.63,1495,202.36,54810,596,53250,577,30,28,165,107,1010,100,20,33,51365,576,460,74,95,65,80,59,0,32,30,49,1555,52,490,85.35,260,125.2,1090,120.44
47005,"State House District 5 (2022), Tennessee",Tennessee,State House District 5 (2022),47,5,70270,178,68080,77,55,45,380,98,1305,219,20,37,64905,67,510,47,100,94,665,233,0,32,145,170,2190,177,565,72.51,480,135.79,1970,321.36,56710,189,55425,77,40,42,290,58,1030,122,20,37,53180,66,410,30,25,44,350,131,0,32,85,83,1285,186,450,60.73,315,72.8,1380,181.85,70920,0,68255,0,55,47,390,92,1335,228,20,37,65035,32,510,47,100,94,665,233,0,32,145,170,2660,0,565,73.77,490,131.53,2000,327.56,57315,30,55600,29,45,43,305,47,1055,123,20,37,53310,32,410,30,25,44,350,131,0,32,85,83,1715,0,455,61.42,330,64.38,1405,182.52
47006,"State House District 6 (2022), Tennessee",Tennessee,State House District 6 (2022),47,6,67270,1864,65195,1806,50,59,920,240,1805,469,35,57,60525,1816,615,108,255,107,800,269,20,36,165,162,2075,497,685,128.22,1175,262.77,2625,541.87,54740,1428,53445,1427,20,23,630,208,1385,327,35,57,49965,1416,545,86,190,88,515,225,20,32,145,156,1295,299,585,94.6,820,225.85,1920,398.22,68230,1935,65860,1860,50,59,1260,303,1855,491,35,57,60790,1842,615,108,260,106,810,270,20,36,165,162,2370,549,685,128.22,1520,321.01,2685,561.5,55585,1472,54050,1459,20,23,955,236,1435,346,35,57,50180,1427,545,86,195,89,525,226,20,32,145,156,1535,321,585,94.6,1150,252.22,1980,414.51
47007,"State House District 7 (2022), Tennessee",Tennessee,State House District 7 (2022),47,7,64840,1960,61870,1893,30,26,620,193,2940,484,0,32,56390,1840,270,96,355,175,1015,297,10,17,240,160,2970,482,310,100.9,975,260.53,3965,568.11,52280,1497,50655,1485,30,26,540,184,2375,332,0,32,46640,1430,240,83,235,108,430,154,10,17,155,110,1625,327,280,88.62,775,213.35,2815,366.37,66460,1934,62475,1862,30,26,800,247,3245,462,0,32,56510,1842,270,96,355,175,1015,297,10,17,240,160,3985,549,310,100.9,1155,302.71,4270,549.49,53760,1472,51170,1459,30,26,720,215,2590,314,0,32,46760,1427,240,83,235,108,430,154,10,17,155,110,2590,321,280,88.62,955,240.6,3030,350.14
47008,"State House District 8 (2022), Tennessee",Tennessee,State House District 8 (2022),47,8,66835,1791,65110,1799,50,40,240,125,1560,379,40,49,61835,1779,425,91,315,181,620,202,0,32,20,24,1725,458,475,104.43,555,219.97,2180,430.66,54945,1448,53785,1455,45,34,145,83,1225,281,40,49,51580,1420,395,82,130,82,215,108,0,32,20,24,1155,316,440,94.36,275,116.67,1440,302.74,67885,1809,65400,1785,50,40,285,121,1620,378,40,49,62025,1777,425,91,315,181,620,202,0,32,20,24,2485,566,475,104.43,600,217.72,2240,429.78,55900,1457,54030,1452,45,34,185,87,1280,283,40,49,51725,1420,395,82,130,82,215,108,0,32,20,24,1870,385,440,94.36,315,119.55,1495,304.59
47009,"State House District 9 (2022), Tennessee",Tennessee,State House District 9 (2022),47,9,67955,1145,66900,1156,45,33,250,114,750,240,0,32,64660,1176,665,79,140,85,205,112,30,52,150,85,1060,234,740,100.17,390,142.2,985,269.9,54385,853,53650,879,40,30,215,100,610,188,0,32,51800,878,540,69,120,85,170,93,30,52,125,78,735,179,610,91.46,335,131.24,810,216.09,68505,1150,67250,1151,45,33,330,132,770,242,0,32,64915,1180,665,79,140,85,205,112,30,52,150,85,1255,234,740,100.17,470,157.0,1005,271.68,54910,850,53980,869,40,30,290,118,630,191,0,32,52035,882,540,69,120,85,170,93,30,52,125,78,930,171,610,91.46,410,145.43,830,218.71
47010,"State House District 10 (2022), Tennessee",Tennessee,State House District 10 (2022),47,10,69865,1185,63925,1089,80,46,285,148,1765,365,205,189,60040,1021,355,75,160,104,935,367,15,20,80,71,5940,605,450,90.23,445,180.89,2715,517.99,53045,1024,50705,908,80,46,225,122,1505,274,110,124,48080,852,255,67,60,69,310,249,15,20,65,59,2340,439,350,83.7,285,140.16,1830,370.78,73790,1100,64805,1038,80,46,600,176,1765,365,570,450,60170,1029,355,75,230,185,935,367,15,20,80,71,8985,491,450,90.23,830,255.34,2715,517.99,56640,928,51550,848,80,46,505,106,1505,274,475,373,48205,856,255,67,130,110,310,249,15,20,65,58,5085,342,350,83.7,635,152.76,1830,370.78
